title,id,episodes,score,rank,popularity,members,favorites,start_date,end_date,status,type,synopsis
Naruto,20,220,7.79,860,5,388924,17442,2002-10-03,2007-02-08,Finished Airing,TV,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes."
One Piece,21,0,8.61,54,26,266918,35836,1999-10-20,0000-00-00,Currently Airing,TV,"Gol D. Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the existence of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece&mdash;which promises an unlimited amount of riches and fame&mdash;and quite possibly the pinnacle of glory and the title of the Pirate King. Enter Monkey D. Luffy, a 17-year-old boy who defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate ransacking villages for fun, Luffy&rsquo;s reason for being a pirate is one of pure wonder: the thought of an exciting adventure that leads him to intriguing people and ultimately, the promised treasure. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach the most coveted of all fortunes&mdash;One Piece."
Prince of Tennis,22,178,8.07,371,486,58797,2227,2001-10-10,2005-03-23,Finished Airing,TV,"The world of tennis is harsh and highly competitive. Numerous schools from Japan battle it out to determine the best of the best. Seishin Gakuen Junior High School, more commonly known as Seigaku, is one of the most prominent contestants in this battle of the finest. Their team line-up gets even stronger with the sudden arrival of a young prodigy from the West, Ryouma Echizen, who is determined to prove himself and escape the towering shadow of his legendary father. This fine addition changes the team forever. Prince of Tennis follows the heartwarming and inspirational story of Ryouma on his quest to become one of the best tennis players the country has ever seen. He pushes himself hard so that he can one day surpass his father's name and his own personal expectations. Alongside the rest of the Seigaku team, Ryouma fights to make his and his teammate's dreams come true."
Ring ni Kakero 1,23,12,6.62,4464,4488,1558,2,2004-10-06,2004-12-15,Finished Airing,TV,"In order to fulfill their dead father's wish, the siblings, Takane Kiku and Takane Ryuji aims for the champopn title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuji, will concentrate on the role of the boxer and learn the Boomerang. His battle with many rivals has led to the growth and maturity of Ryuji. The junior high boxing tournament has began and Ryuji will be fighting with his arch-rival, Kenzaki Jun. The battle begins."
School Rumble,24,26,8.09,360,153,123962,3211,2004-10-05,2005-03-29,Finished Airing,TV,"Tsukamoto Tenma is an ordinary 2nd year high school student who has fallen in love with one of her classmates, Karasuma Ooji. However, currently she is unable to confess her feelings to him. To make things worse, she found out that Karasuma is transferring to another school in a year. On the other hand, Tenma's other classmate, Harima Kenji is also in love with Tenma. Not being able to confess his feelings, Harima gets depressed day by day."
Sunabouzu,25,24,7.57,1161,683,43401,400,2004-10-06,2005-03-30,Finished Airing,TV,"In the future, Japan is a wasteland. In the Great Kantou Desert, scattered humans seek out a living in the hot sand. Among them, a short-statured man they call ""Sunabouzu"" makes a living as a bounty hunter. Like a demon of the sand, he seems unbeatable. Yet, like all men, he has a particular weakness for the opposite sex..."
Texhnolyze,26,22,7.80,834,555,52624,1053,2003-04-17,2003-09-25,Finished Airing,TV,"In a man-made underground society, descendants of a banished generation vie for control of the crumbling city of Lux. Ichise, an orphan turned prize fighter, loses a leg and an arm to satisfy an enraged fight promoter. On the brink of death he is taken in by a young woman doctor and used as a guinea pig for the next evolution of Texhnolyze. With his new limbs, Ichise is taken under the wing of Oonishi, a powerful leader of Organ, an organization with some hold on Lux. As Ichise is drawn deeper into a war for territorial control of the city, he learns of his possible future from the young girl prophet Ran, who guides him from the shadows in his darkest times. With the explosion of the warfare, Ichise must uncover the truth about Lux and fight for his survival as he realizes his destiny."
Trinity Blood,27,24,7.45,1529,281,86220,1163,2005-04-29,2005-10-28,Finished Airing,TV,"The background is in the distant future after the destruction brought about by Armageddon. The war between the vampires and the humans continue to persist. In order to protect the humans from the vampires, the Vatican has to rely on other allies to counter the situation. The protagonist, Abel Nightroad, is a traveling priest from the Vatican and a crusnik, a vampire that drinks the blood of vampires. He is a member of the ""Ax"", a special operations group led by Cardinal Catherina Sforza. He encounters a young girl called Esther, who decides to go with him to Rome and train at the Vatican. Soon after he meets her, the order of Rozencreuz, led by Abel's twin, Cain, tries to continue the war so they can rule the world. It's up to Abel and the AX to try and stop them."
Yakitate!! Japan,28,69,8.07,405,865,34946,509,2004-10-12,2006-03-14,Finished Airing,TV,"Yakitate means ""fresh baked"", but the word ""Japan"" is actually a pun - pan means bread in Japanese, so Kazuma is out to make Japan, a unique Japanese bread to compete with the best bread from around the world! Azuma became obsessed with bread when he was six years old. His sister yelled that their family should start having bread for breakfast sometimes, but their grandfather refused to even consider it, as he would only eat natto, miso soup, and rice for breakfast. Kazuma agreed, saying he didn`t like bread, but his sister kidnaps him and takes him to a bread store to show him the wonders of fresh-baked bread. Not only is Kazuma converted, but the owner discovers that Kazuma has the magical ""Hands of the Sun"" whose warmth makes them particularly suited to making bread. The owner packs up shop and goes to Tokyo to fulfill his dream of making Japan, but Kazuma continues his bread-baking dream as well, and ends up going to Tokyo himself when he`s sixteen, to compete for a spot at the foremost bread store in Japan - Pantasia!"
Zipang,29,26,7.56,1369,2901,4714,32,2004-10-07,2005-03-31,Finished Airing,TV,"Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force . Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942—The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain annonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined."
Neon Genesis Evangelion,30,26,8.32,200,25,269814,18634,1995-10-04,1996-03-27,Finished Airing,TV,"In the year 2015, the world stands on the brink of destruction. Humanity's last hope lies in the hands of Nerv, a special agency under the United Nations, and their Evangelions, giant machines capable of defeating the Angels who herald Earth's ruin. Gendou Ikari, head of the organization, seeks compatible pilots who can synchronize with the Evangelions and realize their true potential. Aiding in this defensive endeavor are talented personnel Misato Katsuragi, Head of Tactical Operations, and Ritsuko Akagi, Chief Scientist. Face to face with his father for the first time in years, 14-year-old Shinji Ikari's average life is irreversibly changed when he is whisked away into the depths of Nerv, and into a harrowing new destiny—he must become the pilot of Evangelion Unit-01 with the fate of mankind on his shoulders. Written by Hideaki Anno, Neon Genesis Evangelion is a heroic tale of a young boy who will become a legend. But as this psychological drama unfolds, ancient secrets beneath the big picture begin to bubble to the surface..."
Neon Genesis Evangelion: Death & Rebirth,31,1,7.51,1463,355,72807,199,1997-03-15,1997-03-15,Finished Airing,Movie,"During the early 21st century a meteorite crashed into Antarctica. After scientists went to study the crash a gigantic explosion followed, classified as the ""Second Impact."" Shinji Ikari is a fourteen-year-old boy who has come to Toyko3, a city that also serves as a fortress, to meet up with his father who left him many years ago. The city also happens to be under siege by monstrous creatures called ""Angels"" at the time of his arrival. Somehow, Shinji finds himself in Evangelion Unit 01, and manages to synchronize with the giant robot. Shinji is told to become its permanent pilot, and is thrown into combat as the city's last defense for fighting off the Angels. However, as Shinji fights, he begins to realize the truth behind the Angels, the Second Impact, man's struggle against God, and what he truly is afraid of."
Neon Genesis Evangelion: The End of Evangelion,32,1,8.43,167,132,132063,2365,1997-07-19,1997-07-19,Finished Airing,Movie,"With the final Angel vanquished, Nerv has one last enemy left to face—the humans under Seele's command. Left in a deep depression nearing the end of the original series, an indecisive Shinji struggles with the ultimatum presented to him: to completely accept mankind's existence, or renounce humanity's individuality. Meanwhile, at the core of a compromised Nerv, Gendou Ikari and Rei Ayanami approach Lilith in an attempt to realize their own ideals concerning the future of the world. The End of Evangelion serves as an alternate ending to the polarizing final episodes of Neon Genesis Evangelion. With the fate of the universe hanging in the balance, the climactic final battle draws near."
Berserk,33,25,8.36,194,181,113985,4505,1997-10-08,1998-04-01,Finished Airing,TV,"A brave young warrior named Guts fights for his fortune as a mercenary on the front lines. A fated encounter unites Guts with the charismatic and deadly young man named Griffith. Leading the rogue soldiers known as the Band of the Hawk, Griffith wields his formidable force like no other. Driven by a quest for status, the Hawks exert military and social prowess the likes of which have never been seen before. The armies of Midland will quake with fear as Griffith and Guts set off on a path that will bring the world to its knees."
Ghost in the Shell,43,1,8.34,199,157,121863,2958,1995-11-18,1995-11-18,Finished Airing,Movie,"In the year 2029, advances in Cybernetics allow people to replace nearly all of their body parts and organs with robotics. Through these prosthetics, the weak are made strong, and the dying are given new life. Public Security Section 9 of Niihama City , a diverse team of AI, cyborgs and unmodified humans, must investigate cases of corruption and terrorism. Major Motoko Kusanagi has full-body prosthetics, owing to a childhood accident. She, her second in command Batou and information specialist Ishikawa have been assigned an important task: to investigate a hacker known only as ""The Puppetmaster."" But as Motoko and her team discover, things are never so simple. Ghost in the Shell is a futuristic thriller with intense action scenes mixed with slower artistic sequences and many philosophical questions about one's soul, gender and human identity in such an advanced age of technology."
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuiokuhen,44,4,8.86,14,289,84842,2772,1999-02-20,1999-09-22,Finished Airing,OVA,"In the days before the Japanese Revolution, Hiko Seiijuro, a wandering master swordsman and hermit, encounters a bandit raid on a slave wagon. Hiko kills the raiding bandits in hopes of saving as many lives as possible, but only manages to spare one life from the massacre. Hiko leaves the child, advising him to go to the nearby village and have them take care of him. A few days later, as Hiko comes back to check upon the child he saved, he is shocked to see the child had created graves, both for the slaves he befriended and the bandits who killed them. Seeing potential in the young one, Hiko takes the child under his wing, names him Kenshin, meaning ""heart of sword,"" and teaches him about the art of swordsmanship under the Hiten Mitsuruugi Ryu. Struggling in a constant challenge with his ideal beliefs reflecting against the harshness of reality, Tsuiokuhen tells the melancholic and dark story of Himura Kenshin as one of the most feared assassins of the Japanese Revolution: the Hitokiri Battousai."
Rurouni Kenshin: Meiji Kenkaku Romantan,45,94,8.44,118,105,145865,5416,1996-01-10,1998-09-08,Finished Airing,TV,"Can you hear the calm silence of the eye of the storm? It is the Meiji Era, a time of peace born from the bloodshed of war. Some remnants of the past remain loyal to samurai morals, but most have lost their way. Certain individuals refusing to accept the ways of this new world now threaten to revive the violence of the old days and bring forth war to Japan once again. Can this fragile peace withstand those who fight to destroy it? Kenshin Himura is an assassin turned wanderer, who has vowed to never take another life and now devotes his life to helping those who cannot help themselves. He soon befriends others who share his ideals and who all refuse to give in to the evil that surrounds them. Together, they learn what it is like to fight for a cause. Will this legendary assassin and his band of heroic warriors be able to stop these rising threats and maintain Japan's peaceful era? Rurouni Kenshin: Meiji Kenkaku Romantan is an enticing action series that explores historical themes through the eyes of the main protagonist, Kenshin, who has seen both good and evil. Will this changed man be able to keep moving forward towards the light, or will his dark past pull him back in?"
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,46,1,7.65,1045,1094,26861,72,1997-12-20,1997-12-20,Finished Airing,Movie,"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta."
Akira,47,1,8.14,385,158,121554,1914,1988-07-16,1988-07-16,Finished Airing,Movie,"It's the year 2019, thirty-one years have passed since the start of World War III. A top-secret child with amazing powers of the mind breaks free from custody and accidentally gets a motorcycle gang involved in the project. This incident triggers psychic powers within one of the gang members, Tetsuo, and he is taken by the army to be experimented on. His mind has been altered and is now on the path of war, seeking revenge on the society that once called him weak."
.hack//Sign,48,26,7.17,2388,310,80595,851,2002-04-04,2002-09-26,Finished Airing,TV,"A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, he is suspected to be a hacker of the Crimson Knights, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand."
Aa! Megami-sama!,49,5,7.42,1636,1060,28028,168,1993-02-21,1994-05-17,Finished Airing,OVA,"When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in."
Aa! Megami-sama! (TV),50,24,7.48,1438,338,74555,792,2005-01-07,2005-07-08,Finished Airing,TV,"Keiichi Morisato is looking forward to university life. But in reality, he has no luck in anything, and he has trouble with clubs, love, etc. The truth is that he has an unlucky star above his head. One day, Keiichi is stuck watching the dorm while his senpai are away, and has a mountain of chores to do to boot. But Keiichi is a good-natured person, and is set about doing his duties. As he is about to finish his final chore, he makes a phone call to his senpai. But the words that came through the receiver are, ""Goddess Help Line."" Shortly afterwards, a beautiful goddess named Belldandy appears in front of him from the mirror of his room."
Tenshi Kinryouku,51,3,6.49,4864,967,31195,178,2000-05-25,2000-08-25,Finished Airing,OVA,"Mudou Setsuna, a high school student, loves his sister in a way that he shouldn't. He also struggles from supernatural powers. Angels and demons flocks to him as the day of his awakening draws near—he is the angel Alexiel, the highest angel which fought against God, reborn."
Kidou Tenshi Angelic Layer,52,26,7.33,1967,929,32469,195,2001-04-01,2001-09-23,Finished Airing,TV,"12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation."
Ai Yori Aoshi,53,24,7.26,2089,587,50327,285,2002-04-11,2002-09-26,Finished Airing,TV,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place."
Appleseed (Movie),54,1,7.23,2251,744,40040,106,2004-04-17,2004-04-17,Finished Airing,Movie,"Growing out of the chaos of a global war, the city of Utopia is populated by humans and bioroids . On the surface, everything is harmonious, but tensions lurk. Into this seemingly perfect society comes a survivor of the wars, Deunan Knute, who carries a legacy that will turn out to be of critical importance to the future of humanity."
Arc the Lad,55,26,6.63,4397,2289,7986,10,1999-04-05,1999-09-11,Finished Airing,TV,"The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies."
Avenger,56,13,6.03,6274,2080,9687,15,2003-10-02,2003-12-25,Finished Airing,TV,"Mars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed."
Beck,57,26,8.42,117,223,99422,3799,2004-10-07,2005-03-31,Finished Airing,TV,"Tanaka Yukio, better known by his nickname Koyuki, is a 14-year-old who feels disconnected from life in general. Through the act of saving a mismatched dog, he meets guitarist Minami Ryuusuke, and becomes involved in Ryuusuke's new band BECK. Koyuki's life starts to change as the band struggles toward fame."
Blue Gender,58,26,7.14,2618,1091,26988,185,1999-10-08,2000-03-31,Finished Airing,TV,"Yuji Kaido was diagnosed with a serious disease and cryogenically frozen. He wakes up more than 20 years later—and Earth is nothing like what he remembers. A race of alien bugs called the Blue has taken over the planet, and a few selected humans have retreated to the space station called Second Earth. Yuji is met by a group of humans from Second Earth that is trying to save him. Yuji and this group must survive the Blue-infested Earth and fight their way back to Second Earth. Things are not as simple as they seem, as the Blue are both powerful and mysterious, attacking only humans."
Chobits,59,26,7.6,1076,62,189219,2332,2002-04-03,2002-09-25,Finished Airing,TV,"In the future, personal computers have developed into ""Persocoms,"" mobile computers that look like human beings. Hideki Motosuwa, a prep school student, desperately wants to buy a Persocom but cannot afford to. One day, he finds a Persocom that has been thrown away and decides to keep it. When he turns on the Persocom, all she can say is ""Chii"" so he decides to name her that. After a while, it starts to become apparent that Chii is more than an average Persocom. Having much better performance, it seems that Chii might be a ""Chobit,"" a type of advanced Persocom rumored to have independent thought."
Chrno Crusade,60,24,7.82,706,202,106761,1534,2003-11-24,2004-06-10,Finished Airing,TV,"The year is 1928 A.D. The place is New York, U.S.A. The economic prosperity brought forth after the Great War also heightened the presence of something far darker and much more sinister: the demonic Sinners. The Magdalene Order is an organization that tries to counter this force. Two of its exorcists are Rosette Christopher and her assistant, Chrono. Both appear out of place in an organization like this, and they are in a quest to find Rosette's missing brother, Joshua. Their relationships, secrets and fates can only be revealed in time..."
D.N.Angel,61,26,7.38,1669,228,98499,1208,2003-04-03,2003-09-25,Finished Airing,TV,"Niwa Daisuke is your average teenager, until his fourteenth birthday. He tries to declare his love to the girl of his dreams, but fails. Suddenly, whenever he thinks about this girl he turns into the legendary phantom thief known as Dark Mousy. Daisuke's mother, very much aware of this, makes him turn into Dark and steal valuable works of art for a purpose unknown to Daisuke. As the story unfolds, he learns why, and about his classmate who seems to have the same ability."
D.C.: Da Capo,62,26,6.97,3014,749,39855,154,2003-07-05,2003-12-27,Finished Airing,TV,"Every year the flowers bloom. Mysterious Cherry Blossoms blooming all over a crescent shaped island. That island is the island of Hatsune... The main character who goes to Kazami Academy, Asakura Junnichi, has the power to see the dreams of other people in his sleep. He was also taught magic by an old lady that allows him to create sweets. One day, Junnichi seems to have seen someone's dream again while he was sleeping. Inside that dream, a girl who was a childhood friend of his appeared. But, he was woken up by his sister Asakura Nemu, forcing him to come back to his regular life. Nemu doesn't actually have any blood relation to Junnichi but their bond is deeper than other real brothers and sisters. So deep that it gives the illusion that they're lovers. It was another peaceful normal day waking up early in the morning and going to Kazami Academy. Together with childhood friend Amakase Miharu, the academy idol Shirakawa Kotori, the two sisters Mizukoshi Moe and Mako who prefer eating nabe on the school roof for lunch. Going through their day as usual, their childhood friend, Yoshino Sakura, who they thought had moved to America suddenly appears. It was a surprise for Junnichi and Nemu. Sakura tells them, ""I came to finish the promise we made during our childhood""..."
DearS,63,12,6.85,3337,400,67579,285,2004-07-11,2004-09-26,Finished Airing,TV,"Ikuhara Takeya is a high school student living a normal life. He is not interested in the commotion around a UFO filled with beautiful alien females that crashed on earth a year ago. The aliens, known as DearS, are deciding to take permanent residence on earth. What no one knows is that these aliens are a slave species whose sole purpose is to serve and please their masters. One day, Takeya spots a person shivering behind some bushes. This person, Ren, is one of the DearS, and after being saved by Takeya she chooses him as her master. Takeya, who doesn't know about the master-slave relationship of DearS, tries to teach Ren the normal lifestyle of the people on earth, though he constantly fears that Ren is an evil alien who's trying to brainwash him. Ren, however, isn't like other DearS. She is in fact malfunctioning and is being tracked down by their leader. Meanwhile, Takeya begins to learn more about DearS, and a mythical DearS relationship called ""Gift"" begins to develop between them."
Rozen Maiden,64,12,7.6,1075,224,99205,1489,2004-10-08,2004-12-24,Finished Airing,TV,"Sakurada Jun spends his days online, ordering whatever he takes a liking to, only to return it before the payment is due. Due to psychological trauma from school, Jun generally keeps contact with people as little as possible. One day he finds instructions online that tell him to put his order into his desk drawer. Rubbing it off as a joke, Jun mindlessly does so only to find that his order instantly disappears from his drawer. A package suddenly appears, containing a beautiful antique doll. When wound up, this doll comes to life. Sadly for Jun, this doll Shinku views Jun as an equivalent for a servant. Despite the constant demands Jun now receives from Shinku, she slowly helps him overcome his fears of human contact as well as protect him from the deadly battles that come into his life due to her appearance. Based on the manga by PEACH-PIT."
Rozen Maiden: Träumend,65,12,7.80,721,488,58630,392,2005-10-21,2006-01-27,Finished Airing,TV,"As summer break arrives for the students, Jun Sakurada is busily studying on his own in the library, making up for time lost while he had confined himself to his home. Meanwhile, his Rozen Maiden doll, Shinku, has been having troubling dreams of late. The pain and sadness of defeating Suigintou was overwhelming, despite the inevitable battle they waged. After waking suddenly from a nightmare, she finds Suigintou's companion spirit wandering; upon giving chase, she discovers that the seventh Doll-- Barasuishou-- has awakened. She now realizes that Suigintou's fate may very well befall the other Dolls, for the appearance of the last Doll signals the beginning of the end of the Alice Games."
Azumanga Daioh,66,26,8.09,370,136,128774,3305,2002-04-09,2002-10-01,Finished Airing,TV,"Azumanga Daioh is about high school life through the eyes of six girls with unusual personalities: Chiyo , Osaka , Sakaki , Tomo , Yomi and Kagura ."
Basilisk: Kouga Ninpou Chou,67,24,7.7,928,414,65855,826,2005-04-13,2005-09-21,Finished Airing,TV,"The year is 1614 AD. Two warring ninja clans, each supporting a son of Hidetada Tokugawa as the next shogun, send ten representatives each to fight to the death for the possession of a scroll. The prize: the annihilation of the other and the staunch support of the Tokugawa government for the winning clan for the next thousand years."
